Farmer_ID,First Name,Last Name,Phone Number,Age,Gender,State of Residence,Education_Level,Years_in_Farming,Has_Bank_Account,Bank Account,Bank Name,Digital_Literacy_Level,Cooperative_Member,Agribusiness_Training
FARMER_022,Sola,Okonkwo,08150262195,27,Female,Edo,Tertiary,6,True,0439101609,Access Bank,Low,False,False
FARMER_023,Emeka,Alabi,07042440634,33,Male,Kaduna,Secondary,2,False,,,High,True,False
FARMER_024,Amina,Ayodele,08166904382,20,Male,Lagos,Primary,10,True,6902209576,Polaris Bank,Medium,False,True
FARMER_025,Segun,Umeh,08125114808,27,Male,Plateau,Tertiary,6,True,2248717711,Polaris Bank,High,True,True
FARMER_026,Chinedu,Ojo,09030989981,23,Male,Edo,Primary,2,False,,,Medium,True,False
FARMER_027,Sola,Ogundipe,09134891039,35,Female,Ekiti,None,1,True,3091388146,Keystone Bank,Low,False,True
FARMER_028,Nneka,Nwachukwu,09092677641,35,Female,Ogun,Primary,7,False,,,High,True,True
FARMER_029,Sola,Danjuma,07089557055,22,Male,Abia,Primary,3,True,1610321732,Zenith Bank,High,True,False
FARMER_030,Aishat,Onwudiwe,09181901562,24,Male,Bayelsa,Primary,14,True,2797865306,Keystone Bank,Medium,True,True
FARMER_031,Chijioke,Okonkwo,09069550065,19,Male,Borno,Primary,12,False,,,Low,False,True
FARMER_032,Ibrahim,Umeh,08079272362,28,Male,Anambra,Primary,14,True,3836669445,Zenith Bank,High,True,False
FARMER_033,Adaobi,Ibrahim,08079906505,30,Male,Bauchi,None,13,False,,,Medium,True,True
FARMER_034,Femi,Adeyemi,09162988318,22,Male,Lagos,None,4,True,4143910349,FCMB,Low,False,True
FARMER_035,Femi,Ayodele,08056960826,23,Male,Kebbi,Primary,13,False,,,Low,True,False
FARMER_036,Kelechi,Yusuf,07032871223,31,Female,Ogun,Primary,6,True,7814814555,Wema Bank,Low,False,False
FARMER_037,Sola,Ojo,09075290680,29,Female,Kogi,Tertiary,5,True,6306050827,UBA,Low,True,True
FARMER_038,Musa,Ojo,08157627540,21,Female,Anambra,None,4,False,,,High,False,False
FARMER_039,Ijeoma,Ibrahim,08109610354,23,Female,Anambra,Secondary,9,True,9594403778,Stanbic IBTC,High,True,False
FARMER_040,Aishat,Ojo,08133878822,27,Male,Katsina,None,6,False,,,Low,False,True
FARMER_041,Tunde,Mohammed,09033589792,35,Male,Zamfara,Secondary,6,False,,,Medium,False,True
FARMER_042,Funke,Ogundipe,08029880739,32,Male,Adamawa,Tertiary,2,False,,,Medium,False,True
FARMER_043,Kelechi,Adebayo,09022718828,25,Male,Benue,Primary,6,False,,,Low,True,False
FARMER_044,Zainab,Okafor,09093882632,26,Male,Gombe,Tertiary,7,True,1897428992,Wema Bank,Low,True,False
FARMER_045,Segun,Yusuf,08109263959,22,Female,Imo,Primary,8,True,2795058021,First Bank,Medium,False,True
FARMER_046,Kemi,Nwosu,09068259053,27,Male,Kano,None,14,True,3843811712,Union Bank,Low,True,False
FARMER_047,Zainab,Nwachukwu,08074918104,23,Female,Kogi,Primary,8,True,3331613576,UBA,Low,True,False
FARMER_048,Halima,Ayodele,09189577630,33,Male,Sokoto,Secondary,9,True,8576283900,Polaris Bank,High,False,True
FARMER_049,Ifeanyi,Abubakar,08156619563,20,Female,Ebonyi,Secondary,10,True,8654610159,Keystone Bank,High,True,False
FARMER_050,Aishat,Alabi,09125163715,27,Male,Sokoto,Tertiary,11,True,4199892114,Polaris Bank,Low,False,True
FARMER_051,Ayoola,Eze,08095024564,28,Female,Rivers,None,13,True,6774810538,Wema Bank,Low,True,False
FARMER_052,Halima,Onwudiwe,09086579762,28,Male,Nasarawa,Secondary,12,True,3247101540,Polaris Bank,High,False,False
FARMER_053,Kemi,Ogundipe,08150923810,34,Male,Adamawa,Tertiary,3,False,,,Low,True,False
FARMER_054,Segun,Umeh,07046748573,21,Male,Kogi,None,10,True,2878080208,First Bank,High,True,False
FARMER_055,Amina,Danjuma,08092607714,21,Male,Kebbi,None,7,True,0738246873,Fidelity Bank,High,False,False
FARMER_056,Ijeoma,Onwudiwe,08088645911,34,Female,Sokoto,Tertiary,7,False,,,Medium,True,False
FARMER_057,Femi,Ibrahim,09096959867,26,Male,FCT,Secondary,1,True,8133706007,Wema Bank,High,False,False
FARMER_058,Zainab,Umeh,09164941847,22,Female,Delta,Secondary,8,False,,,Medium,False,False
FARMER_059,Sola,Onwudiwe,09017562022,23,Male,FCT,Tertiary,4,True,2466207175,Zenith Bank,Medium,True,False
FARMER_060,Bayo,Ibe,08078013124,20,Female,Ondo,Secondary,5,True,0886408322,Access Bank,High,False,True
FARMER_061,Femi,Ogbonna,08155424956,18,Male,Kogi,Tertiary,14,True,1310553205,UBA,Low,True,False
FARMER_062,Tunde,Ibe,09154923885,33,Male,Imo,Secondary,6,False,,,High,False,False
FARMER_063,Ayoola,Abubakar,07014243677,28,Female,Cross River,Secondary,3,True,6073174405,Polaris Bank,Medium,True,False
FARMER_064,Chijioke,Eze,09099959560,30,Male,Yobe,Tertiary,5,False,,,High,False,False
FARMER_065,Ifeanyi,Mohammed,08181403237,27,Male,Cross River,Tertiary,10,True,6094230753,Union Bank,High,False,True
FARMER_066,Halima,Ibe,09152948470,20,Female,Gombe,Secondary,5,True,4103060040,Zenith Bank,Medium,True,True
FARMER_067,Bayo,Nwosu,08112090028,26,Male,Yobe,Tertiary,1,True,4237768314,Stanbic IBTC,High,False,True
FARMER_068,Ifeanyi,Nwosu,07062419423,29,Female,Rivers,Secondary,3,True,3785026394,Union Bank,High,True,False
FARMER_069,Amina,Ayodele,09067135959,31,Male,Oyo,Primary,3,True,1338644246,Zenith Bank,Medium,True,False
FARMER_070,Emeka,Umeh,09153706617,18,Female,Bayelsa,None,1,False,,,Low,True,False
FARMER_071,Nneka,Ogbonna,09067505606,35,Female,Delta,None,13,True,6657823177,Ecobank,Medium,True,True
FARMER_072,Ibrahim,Abubakar,08038819687,34,Female,Gombe,Secondary,7,True,9420320584,GTBank,Medium,True,False
FARMER_073,Ifeanyi,Nwosu,08181566974,26,Female,Anambra,None,1,True,8072679693,Wema Bank,High,True,False
FARMER_074,Nneka,Adeyemi,09013292475,26,Male,Kebbi,Secondary,7,False,,,Medium,True,False
FARMER_075,Halima,Ibrahim,09153434322,27,Male,Ekiti,Tertiary,4,False,,,High,True,True
FARMER_076,Sola,Adeyemi,09015512452,32,Female,Gombe,Primary,9,False,,,High,True,False
FARMER_077,Amina,Adebayo,07046470263,22,Male,Ondo,None,7,False,,,High,False,False
FARMER_078,Ibrahim,Adebayo,09054547372,32,Male,Bayelsa,None,5,False,,,Medium,False,False
FARMER_079,Ifeanyi,Alabi,09072737961,19,Male,Nasarawa,Tertiary,7,False,,,Medium,True,False
FARMER_080,Ayoola,Eze,07042575982,30,Female,Ebonyi,Primary,9,False,,,High,False,False
FARMER_081,Adaobi,Okonkwo,09051052956,33,Male,Kwara,Primary,10,True,3342226047,Polaris Bank,Low,False,True
FARMER_082,Femi,Adedoyin,07036710243,32,Male,Ondo,Primary,6,True,2611513548,Ecobank,Low,False,True
FARMER_083,Bayo,Nwachukwu,08162810456,27,Female,Akwa Ibom,Tertiary,1,True,2023555992,Stanbic IBTC,Medium,True,False
FARMER_084,Ayoola,Adeyemi,07061539176,31,Male,Delta,None,6,True,5902269276,Zenith Bank,High,True,True
FARMER_085,Musa,Ibrahim,07017392545,27,Female,Abia,None,1,True,7519779164,Access Bank,High,False,True
FARMER_086,Aishat,Okafor,08166792261,31,Female,Nasarawa,Primary,13,True,3520239105,First Bank,Medium,False,True
FARMER_087,Bayo,Danjuma,08085146402,26,Female,Edo,Tertiary,12,False,,,Low,True,False
FARMER_088,Segun,Mohammed,09127469766,31,Male,Enugu,Tertiary,4,True,1145054594,Access Bank,Medium,True,False
FARMER_089,Adaobi,Olatunji,08124569801,20,Male,Lagos,Tertiary,14,False,,,Medium,False,True
FARMER_090,Ngozi,Nwachukwu,08055894434,33,Female,Borno,Primary,8,False,,,High,False,False
FARMER_091,Halima,Ayodele,09015400432,19,Female,Anambra,Tertiary,5,False,,,Medium,False,False
FARMER_092,Femi,Adedoyin,08142685078,27,Female,Ogun,Primary,5,False,,,Low,True,True
FARMER_093,Segun,Nwachukwu,08137154294,20,Female,Benue,Primary,13,False,,,Medium,True,True
FARMER_094,Oluchi,Adeyemi,09139443114,28,Female,Delta,Primary,10,True,8465785258,Sterling Bank,High,True,False
FARMER_095,Aishat,Ogbonna,09132985433,28,Female,Yobe,Secondary,11,True,6601811287,Ecobank,Low,True,False
FARMER_096,Ngozi,Adedoyin,08098808405,30,Male,Adamawa,Primary,8,True,3755199446,Polaris Bank,High,True,True
FARMER_097,Kemi,Olatunji,09136725946,24,Female,Nasarawa,Tertiary,8,False,,,Medium,False,True
FARMER_098,Femi,Abubakar,09060677304,34,Female,Enugu,Secondary,1,False,,,Medium,True,True
FARMER_099,Ngozi,Danjuma,07019941847,19,Female,Gombe,None,13,False,,,Medium,False,True
FARMER_100,Chinedu,Adebayo,09167444411,29,Male,Imo,None,13,True,8838048149,Jaiz Bank,High,True,True
FARMER_101,Aishat,Eze,09167107837,27,Male,Kebbi,Tertiary,5,True,3877156295,Zenith Bank,Medium,True,False
FARMER_102,Zainab,Okeke,09018225941,35,Male,Anambra,Tertiary,12,True,5856555391,Access Bank,Low,True,False
FARMER_103,Kemi,Mohammed,07043554316,28,Male,Kaduna,Tertiary,5,True,1284441613,Wema Bank,Low,True,False
FARMER_104,Oluchi,Adedoyin,09152707783,33,Female,Adamawa,Tertiary,8,True,9198248357,Access Bank,High,False,True
FARMER_105,Chinedu,Abubakar,07064055884,34,Male,Cross River,Secondary,1,True,3604132532,FCMB,High,True,False
FARMER_106,Sola,Yusuf,09189018907,35,Female,Kaduna,Tertiary,7,False,,,High,True,True
FARMER_107,Bayo,Yusuf,09073668883,20,Female,Gombe,Primary,7,True,4986958189,UBA,Medium,True,True
FARMER_108,Oluchi,Danjuma,08076845626,33,Female,Lagos,None,13,True,6197818067,Fidelity Bank,Low,True,False
FARMER_109,Uchenna,Abubakar,09129740684,23,Female,Jigawa,Tertiary,9,False,,,Low,False,False
FARMER_110,Kelechi,Nwachukwu,08059072315,29,Female,Kogi,Primary,2,True,5868988889,Zenith Bank,Low,True,True
FARMER_111,Chijioke,Onwudiwe,08081086291,28,Female,Katsina,Tertiary,3,True,8974063522,Jaiz Bank,High,False,False
FARMER_112,Bayo,Ibrahim,09096468425,32,Male,Ebonyi,Primary,4,True,2722320288,Sterling Bank,High,False,False
FARMER_113,Tunde,Olatunji,08104356428,32,Male,Anambra,Secondary,1,True,3639056385,Union Bank,Medium,True,False
FARMER_114,Tunde,Okafor,08129813326,33,Male,Lagos,None,7,True,1275761147,UBA,High,True,False
FARMER_115,Chinedu,Onwudiwe,08069625670,27,Male,Plateau,None,14,True,3994502949,Union Bank,Low,False,False
FARMER_116,Funke,Adeyemi,09138972821,29,Male,Osun,Secondary,10,True,0616797111,First Bank,Medium,False,False
FARMER_117,Ibrahim,Adedoyin,09076768696,30,Female,Nasarawa,Primary,3,True,7906882849,First Bank,High,True,False
FARMER_118,Zainab,Ogundipe,08057031934,21,Male,Yobe,Tertiary,3,True,7430807217,Stanbic IBTC,High,True,True
FARMER_119,Kemi,Ayodele,08121595982,24,Male,Sokoto,Primary,3,False,,,Low,True,True
FARMER_120,Zainab,Alabi,07049288407,19,Male,Cross River,None,8,True,8266128706,Union Bank,Medium,True,False
FARMER_121,Kemi,Ogundipe,07018799837,32,Female,Edo,Secondary,9,False,,,High,True,False
FARMER_122,Bayo,Nwachukwu,08032137236,25,Female,Adamawa,Secondary,10,True,4791740390,Wema Bank,High,True,True
FARMER_123,Sola,Ogbonna,09051208592,24,Female,Bauchi,Primary,13,True,5141578438,First Bank,Medium,True,False
FARMER_124,Amina,Adeyemi,08106476100,32,Male,Bauchi,Primary,14,False,,,Medium,True,True
FARMER_125,Chinedu,Alabi,09131253396,31,Male,Kebbi,Secondary,2,True,3306091868,Zenith Bank,High,True,False
FARMER_126,Adaobi,Okonkwo,08175786869,25,Male,Bauchi,None,10,True,0136159092,Ecobank,High,False,True
FARMER_127,Musa,Adebayo,09010349806,29,Male,Anambra,Tertiary,10,True,7469575250,GTBank,Low,True,True
FARMER_128,Musa,Ibrahim,08110299802,30,Male,Cross River,Tertiary,1,True,0087168773,GTBank,Medium,False,False
FARMER_129,Oluchi,Ojo,08060397285,28,Female,Ondo,Primary,14,False,,,High,True,True
FARMER_130,Funke,Alabi,07088277529,34,Male,Kebbi,Secondary,9,False,,,High,False,True
FARMER_131,Tunde,Adedoyin,07035718137,34,Female,Niger,Secondary,6,True,6823651422,Stanbic IBTC,High,True,True
FARMER_132,Sola,Ogundipe,08070214104,21,Male,Delta,Secondary,14,True,5222397392,Access Bank,High,False,True
FARMER_133,Bayo,Ayodele,09055159078,25,Female,Gombe,None,9,True,5732271995,Fidelity Bank,Low,True,False
FARMER_134,Nneka,Adedoyin,09183609841,22,Female,Delta,Primary,6,False,,,Medium,True,False
FARMER_135,Tunde,Ojo,09080060265,33,Female,Bayelsa,Primary,2,False,,,High,False,True
FARMER_136,Chinedu,Yusuf,08073525471,21,Female,Bauchi,Primary,1,False,,,Medium,True,False
FARMER_137,Tunde,Adebayo,07084848373,32,Male,Bayelsa,None,14,True,0238539869,Wema Bank,Medium,False,False
FARMER_138,Funke,Ogbonna,08076319080,29,Male,Lagos,Primary,8,False,,,High,True,False
FARMER_139,Femi,Abubakar,09037310956,22,Male,Anambra,Tertiary,3,True,6329460586,Ecobank,High,True,False
FARMER_140,Ayoola,Olatunji,08173678796,33,Female,Plateau,Primary,1,True,2268432152,Access Bank,High,True,False
FARMER_141,Tunde,Adedoyin,08111514835,31,Male,Taraba,Primary,8,False,,,Low,False,True
FARMER_142,Chinedu,Mohammed,09067588986,27,Male,Delta,Primary,12,True,7731549976,Ecobank,High,True,True
FARMER_143,Funke,Nwachukwu,08066660279,24,Male,Sokoto,None,1,False,,,Medium,False,True
FARMER_144,Musa,Nwosu,08110854160,30,Male,Yobe,Tertiary,8,True,6544554417,Jaiz Bank,Medium,True,False
FARMER_145,Ayoola,Ogbonna,09182433775,22,Female,Bayelsa,Tertiary,1,False,,,Low,False,False
FARMER_146,Zainab,Alabi,08148170044,20,Female,Gombe,Secondary,9,True,6884086909,UBA,High,True,False
FARMER_147,Kemi,Nwosu,09084253165,32,Male,Kaduna,Secondary,14,True,7297913847,Access Bank,High,True,False
FARMER_148,Femi,Eze,09186035032,21,Male,Sokoto,Tertiary,9,True,6074004257,First Bank,Low,True,True
FARMER_149,Femi,Okeke,07037214415,32,Male,Lagos,Primary,12,True,2693895389,GTBank,Low,True,False
FARMER_150,Ibrahim,Nwosu,07015880800,31,Female,Oyo,Primary,13,True,3967477230,Jaiz Bank,High,True,True
FARMER_151,Ngozi,Adedoyin,08108557410,30,Female,Imo,Primary,9,True,7997447588,Zenith Bank,High,True,True
FARMER_152,Kelechi,Umeh,08071946341,27,Female,Osun,None,3,True,3010885894,First Bank,Medium,True,True
FARMER_153,Zainab,Ibe,08185533331,22,Male,Oyo,Primary,4,True,7839047522,FCMB,High,True,False
FARMER_154,Chijioke,Ibe,09166517396,23,Female,Kaduna,None,5,True,4503330800,Wema Bank,High,True,True
FARMER_155,Ijeoma,Nwachukwu,07062116761,21,Female,Taraba,Tertiary,6,True,1533962765,Fidelity Bank,Medium,True,False
FARMER_156,Ifeanyi,Ogbonna,09134556869,19,Female,Ondo,Primary,9,False,,,Medium,True,True
FARMER_157,Funke,Olatunji,08078610432,33,Female,Abia,Primary,13,False,,,Medium,False,True
FARMER_158,Musa,Nwachukwu,08163040326,35,Female,Anambra,Secondary,11,True,1874570231,UBA,Medium,False,False
FARMER_159,Zainab,Okafor,08146545784,22,Male,Ogun,Tertiary,12,True,7232625577,UBA,Low,True,False
FARMER_160,Ngozi,Okonkwo,08123410183,21,Male,Jigawa,Primary,4,False,,,Medium,False,True
FARMER_161,Femi,Alabi,08145124451,30,Male,Nasarawa,None,14,True,1091360770,Keystone Bank,Low,False,True
FARMER_162,Uchenna,Ogbonna,09059376063,19,Male,Kaduna,Tertiary,14,True,2142344683,Ecobank,Medium,True,False
FARMER_163,Ifeanyi,Adeyemi,08150627698,30,Female,Bayelsa,Secondary,6,True,4306996824,Wema Bank,Medium,True,True
FARMER_164,Ngozi,Abubakar,08150693661,28,Male,Abia,Tertiary,13,True,8666987131,FCMB,Medium,False,False
FARMER_165,Zainab,Nwachukwu,08143378687,21,Male,Borno,None,1,True,4280723440,Jaiz Bank,High,False,True
FARMER_166,Kelechi,Adebayo,09180650393,32,Male,Rivers,Secondary,2,True,1944053207,Wema Bank,Low,False,True
FARMER_167,Nneka,Danjuma,09131912755,21,Female,Katsina,None,8,True,2705760877,Fidelity Bank,Medium,False,True
FARMER_168,Amina,Okeke,09180371318,26,Male,Kwara,Tertiary,4,True,3717735936,Fidelity Bank,High,True,False
FARMER_169,Ibrahim,Okonkwo,08027037967,24,Female,Lagos,Secondary,10,True,2998149696,Access Bank,Low,True,False
FARMER_170,Ngozi,Umeh,09082297916,23,Female,Kaduna,None,7,True,8048500239,Polaris Bank,Low,True,True
FARMER_171,Aishat,Adedoyin,09084235988,23,Female,Ondo,Tertiary,4,True,3406557890,Zenith Bank,High,True,False
FARMER_172,Segun,Balogun,07038043975,32,Male,Delta,None,14,True,6329724334,Keystone Bank,Low,True,False
FARMER_173,Emeka,Ogundipe,09062729149,32,Female,Edo,Primary,9,False,,,High,True,False
FARMER_174,Sola,Okafor,07018894333,26,Male,Rivers,Tertiary,9,True,0665624536,Wema Bank,Medium,True,True
FARMER_175,Sola,Adebayo,08143098671,21,Male,Benue,Secondary,4,True,8516773363,Stanbic IBTC,High,True,True
FARMER_176,Ijeoma,Danjuma,09129487469,35,Male,Imo,Secondary,13,True,6077601749,Jaiz Bank,Low,True,False
FARMER_177,Uchenna,Umeh,08062857512,35,Female,Delta,Primary,8,True,0242511232,Zenith Bank,Low,True,True
FARMER_178,Musa,Umeh,08051266084,22,Female,Oyo,None,6,True,5333825047,Fidelity Bank,Medium,True,True
FARMER_179,Aishat,Balogun,08066572035,28,Male,Bayelsa,None,1,True,1488032197,Polaris Bank,High,True,False
FARMER_180,Zainab,Ibrahim,08086090559,22,Female,Imo,Secondary,7,False,,,Medium,False,True
FARMER_181,Chinedu,Mohammed,08063469207,21,Female,Zamfara,None,1,True,1774230967,Ecobank,High,False,True
FARMER_182,Chinedu,Ibrahim,08112615713,29,Female,Jigawa,Tertiary,3,False,,,High,True,True
FARMER_183,Aishat,Balogun,08158174668,19,Male,Nasarawa,Tertiary,8,True,4984002351,First Bank,High,True,False
FARMER_184,Aishat,Okonkwo,08107902783,30,Female,Gombe,Secondary,9,False,,,Medium,False,True
FARMER_185,Ijeoma,Abubakar,08055952713,27,Female,Borno,Tertiary,3,False,,,Medium,True,False
FARMER_186,Ngozi,Ogbonna,08168313878,26,Male,Kwara,Secondary,1,False,,,Low,False,False
FARMER_187,Kemi,Nwosu,09153163720,27,Female,Ekiti,None,1,True,3329438399,Wema Bank,Medium,True,True
FARMER_188,Tunde,Balogun,08180685306,24,Male,Ondo,None,7,True,5664636685,FCMB,High,False,True
FARMER_189,Zainab,Danjuma,08054714479,21,Female,Plateau,None,5,False,,,High,False,True
FARMER_190,Emeka,Yusuf,08182990638,27,Female,Kwara,Primary,13,False,,,High,False,False
FARMER_191,Bayo,Nwachukwu,08029167007,20,Female,Gombe,Secondary,14,False,,,Medium,True,True
FARMER_192,Kemi,Balogun,09053901434,19,Female,Ebonyi,Tertiary,1,True,8701993889,Zenith Bank,Low,False,False
FARMER_193,Funke,Abubakar,08105536217,27,Female,Plateau,None,6,False,,,Medium,False,True
FARMER_194,Chinedu,Balogun,09135917726,19,Female,Bayelsa,Primary,14,True,3362285375,Stanbic IBTC,Low,False,True
FARMER_195,Kelechi,Yusuf,09132101798,19,Male,Taraba,Tertiary,6,True,8779902327,Jaiz Bank,Medium,True,True
FARMER_196,Ibrahim,Yusuf,08076752217,34,Female,Rivers,Tertiary,14,True,1916348988,FCMB,High,False,False
FARMER_197,Sola,Ibe,08087512170,33,Female,Jigawa,Tertiary,4,True,9151929241,Zenith Bank,Low,True,True
FARMER_198,Oluchi,Adebayo,09054918037,33,Female,Zamfara,None,7,False,,,Medium,True,True
FARMER_199,Femi,Danjuma,07045780964,31,Male,Ekiti,Tertiary,7,True,3638930030,Union Bank,High,True,False
FARMER_200,Nneka,Olatunji,09183876194,24,Male,Delta,Secondary,12,True,5600973563,Union Bank,Low,True,False
FARMER_201,Oluchi,Adedoyin,08168531929,28,Male,Zamfara,Primary,9,True,4847393771,Sterling Bank,Low,False,False
FARMER_202,Kemi,Ojo,09188826513,18,Female,Nasarawa,Tertiary,12,True,0469214699,Wema Bank,High,False,False
FARMER_203,Ijeoma,Obi,08145191676,28,Female,Imo,Tertiary,1,True,1416366007,Jaiz Bank,High,True,False
FARMER_204,Chijioke,Ibrahim,08138006567,21,Male,Abia,Secondary,5,True,8761281545,First Bank,Medium,False,True
FARMER_205,Chijioke,Abubakar,08176085632,24,Male,Lagos,Tertiary,10,True,1083617853,First Bank,Medium,False,True
FARMER_206,Ijeoma,Eze,08092004426,32,Male,Sokoto,None,3,False,,,High,True,False
FARMER_207,Sola,Ibe,08078393375,35,Female,Delta,None,7,False,,,Medium,True,True
FARMER_208,Zainab,Umeh,09033422023,29,Male,Kano,None,4,True,0125900326,Polaris Bank,High,True,False
FARMER_209,Amina,Adebayo,08172813537,34,Female,Benue,Tertiary,4,True,6964754710,Polaris Bank,High,True,True
FARMER_210,Tunde,Ogbonna,09139484034,18,Female,Gombe,Primary,13,True,6923418591,Fidelity Bank,Medium,True,True
FARMER_211,Chijioke,Ayodele,09022304864,28,Female,Zamfara,Primary,12,False,,,Medium,True,True
FARMER_212,Funke,Adeyemi,08038487734,18,Male,Ondo,Tertiary,1,True,0398398809,Keystone Bank,Low,True,True
FARMER_213,Chijioke,Mohammed,08123234586,32,Female,Edo,Primary,1,True,6503207824,Fidelity Bank,Low,False,False
FARMER_214,Oluchi,Ayodele,09061039531,27,Male,Imo,Primary,10,True,8829399052,Zenith Bank,Medium,False,True
FARMER_215,Chijioke,Danjuma,09164007851,24,Male,Kano,Tertiary,2,False,,,Medium,True,True
FARMER_216,Chijioke,Ojo,09161933685,19,Male,Nasarawa,None,2,True,6953362036,Fidelity Bank,Medium,True,False
FARMER_217,Amina,Adedoyin,09168572836,27,Male,Kaduna,Tertiary,1,True,4154557349,Sterling Bank,Low,True,True
FARMER_218,Amina,Obi,08175776049,21,Female,Edo,None,8,False,,,Medium,True,False
FARMER_219,Nneka,Ogbonna,07017516681,29,Female,Katsina,None,6,True,6226068158,Zenith Bank,Low,True,False
FARMER_220,Musa,Ojo,09020910316,28,Female,Sokoto,Primary,6,False,,,Low,True,False
FARMER_221,Funke,Danjuma,08175648775,25,Female,Benue,Primary,10,True,7850282790,Sterling Bank,Low,True,False
FARMER_222,Chinedu,Ayodele,08079439455,35,Male,Taraba,None,10,False,,,Low,True,True
FARMER_223,Chinedu,Mohammed,09076125292,28,Male,FCT,None,9,True,6203778577,FCMB,High,True,False
FARMER_224,Kelechi,Okafor,09127644597,28,Male,Abia,Primary,5,False,,,Medium,False,False
FARMER_225,Amina,Obi,09121639898,30,Male,Nasarawa,Secondary,4,True,2172071450,Fidelity Bank,Medium,True,False
FARMER_226,Segun,Umeh,09120909672,20,Female,Taraba,None,11,False,,,High,True,True
FARMER_227,Sola,Balogun,09019616526,29,Male,Lagos,None,6,True,2455894205,FCMB,Medium,True,False
FARMER_228,Emeka,Nwachukwu,09182213461,20,Female,FCT,None,8,True,2630587467,Ecobank,Low,False,False
FARMER_229,Musa,Adedoyin,08024984193,27,Male,Kebbi,Primary,14,False,,,High,False,False
FARMER_230,Ifeanyi,Eze,08169055799,34,Male,Bayelsa,Tertiary,1,True,8361836668,First Bank,Low,True,True
FARMER_231,Musa,Obi,08084890871,19,Male,FCT,None,7,True,5150751308,Stanbic IBTC,High,False,True
FARMER_232,Uchenna,Olatunji,09128051929,34,Male,Kwara,None,8,True,3529496563,Fidelity Bank,Low,True,False
FARMER_233,Oluchi,Okonkwo,09184984111,33,Female,Katsina,None,9,False,,,Medium,False,True
FARMER_234,Chijioke,Abubakar,09096703261,19,Female,Benue,Tertiary,11,True,8297584126,Zenith Bank,Medium,True,True
FARMER_235,Emeka,Ayodele,08098506113,23,Female,Ondo,Tertiary,8,False,,,Medium,True,False
FARMER_236,Oluchi,Eze,09020342355,27,Female,Plateau,None,7,True,9337369745,Union Bank,High,False,True
FARMER_237,Funke,Ibrahim,09076601345,27,Male,Plateau,None,3,True,9067256914,Wema Bank,Medium,True,True
FARMER_238,Ijeoma,Adebayo,08056693294,25,Male,Bauchi,Secondary,2,True,1716422633,Wema Bank,High,False,True
FARMER_239,Amina,Ayodele,09097645456,18,Female,Anambra,Tertiary,3,True,3631454908,Sterling Bank,Low,True,True
FARMER_240,Emeka,Okeke,07087657553,30,Female,Kebbi,Secondary,4,True,9351831073,Union Bank,Medium,False,True
